2018/04/01|Sunday|Entrance Ceremony
2018/04/09|Monday|Start of Classes, 1st Quarter, Spring Semester
2018/04/28|Saturday|Make-up Classes
2018/04/29|Sunday|National Holiday
2018/04/30|Monday|National Holiday(Classes as usual)
2018/05/03|Thursday|National Holiday(Classes as usual)
2018/05/04|Friday|National Holiday(Classes as usual)
2018/05/05|Saturday|National Holiday
2018/05/12|Saturday|Make-up Classes
2018/05/26|Saturday|Make-up Classes
2018/05/28|Monday|Final Exams, 1st Quarter, Spring Semester
2018/05/29|Tuesday|Final Exams, 1st Quarter, Spring Semester
2018/05/30|Wednesday|Final Exams, 1st Quarter, Spring Semester
2018/05/31|Thursday|No Classes
2018/06/01|Friday|No Classes
2018/06/04|Monday|Start of Classes 2nd Quarter, Spring Semester
2018/06/13|Wednesday|1st Quarter Make-Up Examinations
2018/06/16|Saturday|Make-up Classes
2018/06/30|Saturday|Make-up Classes
2018/07/16|Monday|National Holiday(Classes as usual)
2018/07/21|Saturday|Make-up Classes
2018/07/23|Monday|Final Exams, 2nd Quarter, Spring Semester
2018/07/24|Tuesday|Final Exams, 2nd Quarter, Spring Semester
2018/07/25|Wednesday|Final Exams, 2nd Quarter, Spring Semester
2018/07/26|Thursday|Final Exams, 2nd Quarter, Spring Semester
2018/07/27|Friday|Final Exams, 2nd Quarter, Spring Semester
2018/07/28|Saturday|Back-up Examination
2018/07/29|Sunday|Summer Session,Classes as usual
2018/07/30|Monday|Summer Session
2018/07/31|Tuesday|Summer Session
2018/08/01|Wednesday|Summer Session
2018/08/02|Thursday|Summer Session
2018/08/07|Tuesday|2nd Quarter Make-Up Examinations
2018/08/08|Wednesday|2nd Quarter Make-Up Examinations
2018/08/11|Saturday|National Holiday
2018/08/29|Wednesday|Graduation Results Announced
2018/09/10|Monday|Spring Semester Results Released
2018/09/14|Friday|Graduation Ceremony
2018/09/17|Monday|National Holiday
2018/09/21|Friday|Entrance Ceremony
2018/09/23|Sunday|National Holiday
2018/09/24|Monday|National Holiday
2018/10/03|Wednesday|Start of Classes, 1st Quarter, Fall Semester
2018/10/08|Monday|National Holiday(Classes as usual)
2018/10/20|Saturday|Make-up Classes
2018/11/03|Saturday|National Holiday
2018/11/17|Saturday|Make-up Classes
2018/11/21|Wednesday|Final Exams, 1st Quarter, Fall Semester
2018/11/22|Thursday|Final Exams, 1st Quarter, Fall Semester
2018/11/23|Friday|National Holiday
2018/11/24|Saturday|Back-up Examination
2018/11/26|Monday|No Classes
2018/11/27|Tuesday|No Classes
2018/11/28|Wednesday|Start of Classes, 2nd Quarter, Fall Semester
2018/12/05|Wednesday|1st Quarter Make-up Examinations
2018/12/08|Saturday|Classes as usual (Jan.14 classes)
2018/12/15|Saturday|Make-up Classes
2018/12/22|Saturday|No Classes
2018/12/23|Sunday|National Holiday
